#complex,groundtruth,simcomplex,simground,z3res,verificationtime
((3*(a&b)+2*(a&~b)-2*~(a&~a)+1*~(a|b)+2*~(a|~b)+1*~b)&y)*((3*(a&b)+2*(a&~b)-2*~(a&~a)+1*~(a|b)+2*~(a|~b)+1*~b)|y)+((3*(a&b)+2*(a&~b)-2*~(a&~a)+1*~(a|b)+2*~(a|~b)+1*~b)&~y)*(~(3*(a&b)+2*(a&~b)-2*~(a&~a)+1*~(a|b)+2*~(a|~b)+1*~b)&y),a*y,a*y,a*y,True,0.027660369873046875
(x&(-3*(a&b)+1*(a&~b)-1*~(a&b)+4*~(a^b)-3*~(a|b)+2*~(a|~b)))*(x|(-3*(a&b)+1*(a&~b)-1*~(a&b)+4*~(a^b)-3*~(a|b)+2*~(a|~b)))+(x&~(-3*(a&b)+1*(a&~b)-1*~(a&b)+4*~(a^b)-3*~(a|b)+2*~(a|~b)))*(~x&(-3*(a&b)+1*(a&~b)-1*~(a&b)+4*~(a^b)-3*~(a|b)+2*~(a|~b))),x*b,x*b,x*b,True,0.026025056838989258
(~((-1*(a&b)-1*(a&~b)-3*(a|b)+5*a+3*~(a|~b))&y))+y+2*(~((-1*(a&b)-1*(a&~b)-3*(a|b)+5*a+3*~(a|~b))&~(-1*(a&b)-1*(a&~b)-3*(a|b)+5*a+3*~(a|~b))))+(-1*(a&b)-1*(a&~b)-3*(a|b)+5*a+3*~(a|~b))-1*(~((-1*(a&b)-1*(a&~b)-3*(a|b)+5*a+3*~(a|~b))&~y))+2*(~((-1*(a&b)-1*(a&~b)-3*(a|b)+5*a+3*~(a|~b))^y))-4*(~((-1*(a&b)-1*(a&~b)-3*(a|b)+5*a+3*~(a|~b))|y))-4*(~((-1*(a&b)-1*(a&~b)-3*(a|b)+5*a+3*~(a|~b))|~y))-5*((-1*(a&b)-1*(a&~b)-3*(a|b)+5*a+3*~(a|~b))&~y)-5*((-1*(a&b)-1*(a&~b)-3*(a|b)+5*a+3*~(a|~b))&y),-(a^y),a+y-2*(a|y),a+y-2*(a|y),True,0.036850929260253906
-1*(~((6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)^y))+~(6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)-1*(6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)-1*((6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)^y)+((6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)|~y)-2*~y-1*((6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)|y)+2*(~((6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)|~y))+3*((6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)&~y)+4*((6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)&y),2*y-(~(a&y)),a+3*y-(a|y)-~(a&~a),a+3*y-(a|y)-~(a&~a),True,0.0331263542175293
(~((6*(a&b)+8*(a&~b)-5*b+7*~(a|b)+5*~(a|~b)-7*~b)&y))-1*((6*(a&b)+8*(a&~b)-5*b+7*~(a|b)+5*~(a|~b)-7*~b)|y)+~(6*(a&b)+8*(a&~b)-5*b+7*~(a|b)+5*~(a|~b)-7*~b)+(~((6*(a&b)+8*(a&~b)-5*b+7*~(a|b)+5*~(a|~b)-7*~b)^y))+2*(~((6*(a&b)+8*(a&~b)-5*b+7*~(a|b)+5*~(a|~b)-7*~b)&~y))+(6*(a&b)+8*(a&~b)-5*b+7*~(a|b)+5*~(a|~b)-7*~b)-1*((6*(a&b)+8*(a&~b)-5*b+7*~(a|b)+5*~(a|~b)-7*~b)^y)+~y-2*(~((6*(a&b)+8*(a&~b)-5*b+7*~(a|b)+5*~(a|~b)-7*~b)|y))-2*(~((6*(a&b)+8*(a&~b)-5*b+7*~(a|b)+5*~(a|~b)-7*~b)|~y))+3*((6*(a&b)+8*(a&~b)-5*b+7*~(a|b)+5*~(a|~b)-7*~b)&~y)+1*((6*(a&b)+8*(a&~b)-5*b+7*~(a|b)+5*~(a|~b)-7*~b)&y),4*(a|~y),4*a-4*(a|y)+4*~(a&~a),4*a-4*(a|y)+4*~(a&~a),True,0.025983095169067383
-1*~y+(~((1*(a&b)-1*(a&~b)+2*~(a&b)+3*~(a|b)+3*~(a|~b)-5*~a)&~(1*(a&b)-1*(a&~b)+2*~(a&b)+3*~(a|b)+3*~(a|~b)-5*~a)))-5*(~((1*(a&b)-1*(a&~b)+2*~(a&b)+3*~(a|b)+3*~(a|~b)-5*~a)&~y))-1*(~((1*(a&b)-1*(a&~b)+2*~(a&b)+3*~(a|b)+3*~(a|~b)-5*~a)^y))-1*(1*(a&b)-1*(a&~b)+2*~(a&b)+3*~(a|b)+3*~(a|~b)-5*~a)+((1*(a&b)-1*(a&~b)+2*~(a&b)+3*~(a|b)+3*~(a|~b)-5*~a)|y)+5*(~((1*(a&b)-1*(a&~b)+2*~(a&b)+3*~(a|b)+3*~(a|~b)-5*~a)|y))+5*(~((1*(a&b)-1*(a&~b)+2*~(a&b)+3*~(a|b)+3*~(a|~b)-5*~a)|~y))+1*((1*(a&b)-1*(a&~b)+2*~(a&b)+3*~(a|b)+3*~(a|~b)-5*~a)&~y)+4*((1*(a&b)-1*(a&~b)+2*~(a&b)+3*~(a|b)+3*~(a|~b)-5*~a)&y),2*(a^y)-(a|~y),-3*a-2*y+5*(a|y)-~(a&~a),-3*a-2*y+5*(a|y)-~(a&~a),True,0.03140592575073242
-4*~(-3*(a&b)-10*(a&~b)+11*(a|b)-7*b-4*~(a|~b))-1*((-3*(a&b)-10*(a&~b)+11*(a|b)-7*b-4*~(a|~b))|~y)-1*y+~y-2*(-3*(a&b)-10*(a&~b)+11*(a|b)-7*b-4*~(a|~b))+(~((-3*(a&b)-10*(a&~b)+11*(a|b)-7*b-4*~(a|~b))^y))+(~((-3*(a&b)-10*(a&~b)+11*(a|b)-7*b-4*~(a|~b))&y))-2*((-3*(a&b)-10*(a&~b)+11*(a|b)-7*b-4*~(a|~b))|y)+2*(~((-3*(a&b)-10*(a&~b)+11*(a|b)-7*b-4*~(a|~b))|y))+5*(~((-3*(a&b)-10*(a&~b)+11*(a|b)-7*b-4*~(a|~b))|~y))+2*((-3*(a&b)-10*(a&~b)+11*(a|b)-7*b-4*~(a|~b))&~y)+5*((-3*(a&b)-10*(a&~b)+11*(a|b)-7*b-4*~(a|~b))&y),-(a^y),a+y-2*(a|y),a+y-2*(a|y),True,0.026267051696777344
-1*(-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))-1*(~((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))&y))+2*((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))^y)+2*(~((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))&~y))-1*(~((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))^y))-1*y-2*((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))|~y)+((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))|y)+6*(~((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))|y))-4*(~((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))|~y))+5*((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))&~y)+1*((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))&y),5*~y-(~(a&~a)),-5*y+4*~(a&~a),-5*y+4*~(a&~a),True,0.026415348052978516
((-1*(a&b)+3*(a&~b)-2*(a|~b)+4*~(a&~b)-2*~(a|b)-4*~(a|~b))^y)+~y-2*((-1*(a&b)+3*(a&~b)-2*(a|~b)+4*~(a&~b)-2*~(a|b)-4*~(a|~b))|y)-1*(~((-1*(a&b)+3*(a&~b)-2*(a|~b)+4*~(a&~b)-2*~(a|b)-4*~(a|~b))&y))-1*(~((-1*(a&b)+3*(a&~b)-2*(a|~b)+4*~(a&~b)-2*~(a|b)-4*~(a|~b))&~(-1*(a&b)+3*(a&~b)-2*(a|~b)+4*~(a&~b)-2*~(a|b)-4*~(a|~b))))+2*(~((-1*(a&b)+3*(a&~b)-2*(a|~b)+4*~(a&~b)-2*~(a|b)-4*~(a|~b))&~y))-1*(-1*(a&b)+3*(a&~b)-2*(a|~b)+4*~(a&~b)-2*~(a|b)-4*~(a|~b))+y+2*~(-1*(a&b)+3*(a&~b)-2*(a|~b)+4*~(a&~b)-2*~(a|b)-4*~(a|~b))-4*(~((-1*(a&b)+3*(a&~b)-2*(a|~b)+4*~(a&~b)-2*~(a|b)-4*~(a|~b))|y))-2*(~((-1*(a&b)+3*(a&~b)-2*(a|~b)+4*~(a&~b)-2*~(a|b)-4*~(a|~b))|~y))+3*((-1*(a&b)+3*(a&~b)-2*(a|~b)+4*~(a&~b)-2*~(a|b)-4*~(a|~b))&~y),-(~(a^y)),-a-y+2*(a|y)-~(a&~a),-a-y+2*(a|y)-~(a&~a),True,0.023452281951904297
-1*~(5*(a&b)+5*(a&~b)-2*(a|b)-2*a+2*~(a|~b))-1*(~((5*(a&b)+5*(a&~b)-2*(a|b)-2*a+2*~(a|~b))^y))+2*~y-1*((5*(a&b)+5*(a&~b)-2*(a|b)-2*a+2*~(a|~b))^y)-1*((5*(a&b)+5*(a&~b)-2*(a|b)-2*a+2*~(a|~b))|~y)-1*y-1*(~((5*(a&b)+5*(a&~b)-2*(a|b)-2*a+2*~(a|~b))&y))-1*(~((5*(a&b)+5*(a&~b)-2*(a|b)-2*a+2*~(a|~b))&~y))-1*(~((5*(a&b)+5*(a&~b)-2*(a|b)-2*a+2*~(a|~b))|y))+1*(~((5*(a&b)+5*(a&~b)-2*(a|b)-2*a+2*~(a|~b))|~y))-3*((5*(a&b)+5*(a&~b)-2*(a|b)-2*a+2*~(a|~b))&~y),-4*(~(a&~a)),-4*~(a&~a),-4*~(a&~a),True,0.025169849395751953
