#complex,groundtruth,z3res,verificationtime
((3*(a&b)+2*(a&~b)-2*~(a&~a)+1*~(a|b)+2*~(a|~b)+1*~b)&y)*((3*(a&b)+2*(a&~b)-2*~(a&~a)+1*~(a|b)+2*~(a|~b)+1*~b)|y)+((3*(a&b)+2*(a&~b)-2*~(a&~a)+1*~(a|b)+2*~(a|~b)+1*~b)&~y)*(~(3*(a&b)+2*(a&~b)-2*~(a&~a)+1*~(a|b)+2*~(a|~b)+1*~b)&y),a*y,Timeout,5.01941180229187
(x&(-3*(a&b)+1*(a&~b)-1*~(a&b)+4*~(a^b)-3*~(a|b)+2*~(a|~b)))*(x|(-3*(a&b)+1*(a&~b)-1*~(a&b)+4*~(a^b)-3*~(a|b)+2*~(a|~b)))+(x&~(-3*(a&b)+1*(a&~b)-1*~(a&b)+4*~(a^b)-3*~(a|b)+2*~(a|~b)))*(~x&(-3*(a&b)+1*(a&~b)-1*~(a&b)+4*~(a^b)-3*~(a|b)+2*~(a|~b))),x*b,Timeout,5.012365341186523
(~((-1*(a&b)-1*(a&~b)-3*(a|b)+5*a+3*~(a|~b))&y))+y+2*(~((-1*(a&b)-1*(a&~b)-3*(a|b)+5*a+3*~(a|~b))&~(-1*(a&b)-1*(a&~b)-3*(a|b)+5*a+3*~(a|~b))))+(-1*(a&b)-1*(a&~b)-3*(a|b)+5*a+3*~(a|~b))-1*(~((-1*(a&b)-1*(a&~b)-3*(a|b)+5*a+3*~(a|~b))&~y))+2*(~((-1*(a&b)-1*(a&~b)-3*(a|b)+5*a+3*~(a|~b))^y))-4*(~((-1*(a&b)-1*(a&~b)-3*(a|b)+5*a+3*~(a|~b))|y))-4*(~((-1*(a&b)-1*(a&~b)-3*(a|b)+5*a+3*~(a|~b))|~y))-5*((-1*(a&b)-1*(a&~b)-3*(a|b)+5*a+3*~(a|~b))&~y)-5*((-1*(a&b)-1*(a&~b)-3*(a|b)+5*a+3*~(a|~b))&y),-(a^y),Timeout,5.009170055389404
-1*(~((6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)^y))+~(6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)-1*(6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)-1*((6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)^y)+((6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)|~y)-2*~y-1*((6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)|y)+2*(~((6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)|~y))+3*((6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)&~y)+4*((6*(a&b)-1*(a&~b)-5*b-2*~(a|b)+5*~(a|~b)+2*~b)&y),2*y-(~(a&y)),Timeout,5.010430812835693
(~((6*(a&b)+8*(a&~b)-5*b+7*~(a|b)+5*~(a|~b)-7*~b)&y))-1*((6*(a&b)+8*(a&~b)-5*b+7*~(a|b)+5*~(a|~b)-7*~b)|y)+~(6*(a&b)+8*(a&~b)-5*b+7*~(a|b)+5*~(a|~b)-7*~b)+(~((6*(a&b)+8*(a&~b)-5*b+7*~(a|b)+5*~(a|~b)-7*~b)^y))+2*(~((6*(a&b)+8*(a&~b)-5*b+7*~(a|b)+5*~(a|~b)-7*~b)&~y))+(6*(a&b)+8*(a&~b)-5*b+7*~(a|b)+5*~(a|~b)-7*~b)-1*((6*(a&b)+8*(a&~b)-5*b+7*~(a|b)+5*~(a|~b)-7*~b)^y)+~y-2*(~((6*(a&b)+8*(a&~b)-5*b+7*~(a|b)+5*~(a|~b)-7*~b)|y))-2*(~((6*(a&b)+8*(a&~b)-5*b+7*~(a|b)+5*~(a|~b)-7*~b)|~y))+3*((6*(a&b)+8*(a&~b)-5*b+7*~(a|b)+5*~(a|~b)-7*~b)&~y)+1*((6*(a&b)+8*(a&~b)-5*b+7*~(a|b)+5*~(a|~b)-7*~b)&y),4*(a|~y),Timeout,5.00696325302124
-1*~y+(~((1*(a&b)-1*(a&~b)+2*~(a&b)+3*~(a|b)+3*~(a|~b)-5*~a)&~(1*(a&b)-1*(a&~b)+2*~(a&b)+3*~(a|b)+3*~(a|~b)-5*~a)))-5*(~((1*(a&b)-1*(a&~b)+2*~(a&b)+3*~(a|b)+3*~(a|~b)-5*~a)&~y))-1*(~((1*(a&b)-1*(a&~b)+2*~(a&b)+3*~(a|b)+3*~(a|~b)-5*~a)^y))-1*(1*(a&b)-1*(a&~b)+2*~(a&b)+3*~(a|b)+3*~(a|~b)-5*~a)+((1*(a&b)-1*(a&~b)+2*~(a&b)+3*~(a|b)+3*~(a|~b)-5*~a)|y)+5*(~((1*(a&b)-1*(a&~b)+2*~(a&b)+3*~(a|b)+3*~(a|~b)-5*~a)|y))+5*(~((1*(a&b)-1*(a&~b)+2*~(a&b)+3*~(a|b)+3*~(a|~b)-5*~a)|~y))+1*((1*(a&b)-1*(a&~b)+2*~(a&b)+3*~(a|b)+3*~(a|~b)-5*~a)&~y)+4*((1*(a&b)-1*(a&~b)+2*~(a&b)+3*~(a|b)+3*~(a|~b)-5*~a)&y),2*(a^y)-(a|~y),Timeout,5.011230707168579
-4*~(-3*(a&b)-10*(a&~b)+11*(a|b)-7*b-4*~(a|~b))-1*((-3*(a&b)-10*(a&~b)+11*(a|b)-7*b-4*~(a|~b))|~y)-1*y+~y-2*(-3*(a&b)-10*(a&~b)+11*(a|b)-7*b-4*~(a|~b))+(~((-3*(a&b)-10*(a&~b)+11*(a|b)-7*b-4*~(a|~b))^y))+(~((-3*(a&b)-10*(a&~b)+11*(a|b)-7*b-4*~(a|~b))&y))-2*((-3*(a&b)-10*(a&~b)+11*(a|b)-7*b-4*~(a|~b))|y)+2*(~((-3*(a&b)-10*(a&~b)+11*(a|b)-7*b-4*~(a|~b))|y))+5*(~((-3*(a&b)-10*(a&~b)+11*(a|b)-7*b-4*~(a|~b))|~y))+2*((-3*(a&b)-10*(a&~b)+11*(a|b)-7*b-4*~(a|~b))&~y)+5*((-3*(a&b)-10*(a&~b)+11*(a|b)-7*b-4*~(a|~b))&y),-(a^y),Timeout,5.008637428283691
-1*(-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))-1*(~((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))&y))+2*((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))^y)+2*(~((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))&~y))-1*(~((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))^y))-1*y-2*((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))|~y)+((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))|y)+6*(~((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))|y))-4*(~((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))|~y))+5*((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))&~y)+1*((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))&y),5*~y-(~(a&~a)),Timeout,5.010581970214844
((-1*(a&b)+3*(a&~b)-2*(a|~b)+4*~(a&~b)-2*~(a|b)-4*~(a|~b))^y)+~y-2*((-1*(a&b)+3*(a&~b)-2*(a|~b)+4*~(a&~b)-2*~(a|b)-4*~(a|~b))|y)-1*(~((-1*(a&b)+3*(a&~b)-2*(a|~b)+4*~(a&~b)-2*~(a|b)-4*~(a|~b))&y))-1*(~((-1*(a&b)+3*(a&~b)-2*(a|~b)+4*~(a&~b)-2*~(a|b)-4*~(a|~b))&~(-1*(a&b)+3*(a&~b)-2*(a|~b)+4*~(a&~b)-2*~(a|b)-4*~(a|~b))))+2*(~((-1*(a&b)+3*(a&~b)-2*(a|~b)+4*~(a&~b)-2*~(a|b)-4*~(a|~b))&~y))-1*(-1*(a&b)+3*(a&~b)-2*(a|~b)+4*~(a&~b)-2*~(a|b)-4*~(a|~b))+y+2*~(-1*(a&b)+3*(a&~b)-2*(a|~b)+4*~(a&~b)-2*~(a|b)-4*~(a|~b))-4*(~((-1*(a&b)+3*(a&~b)-2*(a|~b)+4*~(a&~b)-2*~(a|b)-4*~(a|~b))|y))-2*(~((-1*(a&b)+3*(a&~b)-2*(a|~b)+4*~(a&~b)-2*~(a|b)-4*~(a|~b))|~y))+3*((-1*(a&b)+3*(a&~b)-2*(a|~b)+4*~(a&~b)-2*~(a|b)-4*~(a|~b))&~y),-(~(a^y)),Timeout,5.007885932922363
-1*~(5*(a&b)+5*(a&~b)-2*(a|b)-2*a+2*~(a|~b))-1*(~((5*(a&b)+5*(a&~b)-2*(a|b)-2*a+2*~(a|~b))^y))+2*~y-1*((5*(a&b)+5*(a&~b)-2*(a|b)-2*a+2*~(a|~b))^y)-1*((5*(a&b)+5*(a&~b)-2*(a|b)-2*a+2*~(a|~b))|~y)-1*y-1*(~((5*(a&b)+5*(a&~b)-2*(a|b)-2*a+2*~(a|~b))&y))-1*(~((5*(a&b)+5*(a&~b)-2*(a|b)-2*a+2*~(a|~b))&~y))-1*(~((5*(a&b)+5*(a&~b)-2*(a|b)-2*a+2*~(a|~b))|y))+1*(~((5*(a&b)+5*(a&~b)-2*(a|b)-2*a+2*~(a|~b))|~y))-3*((5*(a&b)+5*(a&~b)-2*(a|b)-2*a+2*~(a|~b))&~y),-4*(~(a&~a)),Timeout,5.011698961257935
