#complex,groundtruth,simplifiedcomplex,simplifiedgroundtruth,z3flag,simtime
-x-1,~x,1*~x,1*~x,True,0.0008332729339599609
-(x&y)-(x&~y),-x,-1*x,-1*x,True,0.0007915496826171875
(x|y)+y-(~x&y),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y),1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.0008754730224609375
(x|y)+3*~(x|y)-2*~(x^y)-~(x&y),-(x&y),-1*(x&y),-1*(x&y),True,0.0009679794311523438
x+y-(x&y),x|y,1*(x|y),1*(x|y),True,0.0007994174957275391
-~(x&y)+(~x|y)+(x&~y),x&y,1*(x&y),1*(x&y),True,0.0008695125579833984
-3*(x&y)-(x^y)+~y-~(x&y),-x-2*y,-2*~(x|~y)-1*(x&~y)-3*(x&y),-2*~(x|~y)-1*(x&~y)-3*(x&y),True,0.0008933544158935547
(x&~y)-1*~x-1*(x|y)-1*(~(x&y))+(~(x|~y))+2*(x&y)-1*(x|~y)-1*(~(x&~y))-2*(~(x|y))+(~(x&~x))+2*(~(x|y))+2*(~(x|~y))-2*(x&y),-2*(~(x^y))-~y,-3*~(x|y)-1*(x&~y)-2*(x&y),-3*~(x|y)-1*(x&~y)-2*(x&y),True,0.0013244152069091797
2*(x|y)-(~x&y)-(x&~y),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y),1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.0005900859832763672
-2*(~(x&y))+x+y+4*(~(x|y))+1*(~(x|~y))-1*(x&~y)-2*(x&y),2*~x-2*(x^y),2*~(x|y)-2*(x&~y),2*~(x|y)-2*(x&~y),True,0.0006997585296630859
(~x&y)+~(x|y)-~y,-x+y,1*~(x|~y)-1*(x&~y),1*~(x|~y)-1*(x&~y),True,0.000583648681640625
(x^y)+2*y-2*(~x&y),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y),1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.0005781650543212891
-2*~x+~y+4*(x|~y)-1*(~(x&y))-1*x-1*(~(x&~x))-1*(x|y)-1*y+(~(x&~y))-3*(~(x|y))+5*(~(x|~y))-1*(x&~y)-2*(x&y),-(~(x^y)),-1*~(x^y),-1*~(x^y),True,0.0008051395416259766
-1*y-1*(~(x&y))+~x+x-1*(~(x^y))+1*(~(x|y))+2*(~(x|~y))+1*(x&~y)+2*(x&y),1*(x|y),1*(x|y),1*(x|y),True,0.0007195472717285156
(x|y)-y+(~x&y),x^y,1*(x^y),1*(x^y),True,0.0005767345428466797
