#complex,groundtruth,simcomplex,simground,boolectorres,verificationtime
-x-1,~x,1*~x, 1*~x,True,0.000504970550537
-(x&y)-(x&~y),-x,-1*x, -1*x,True,0.000208139419556
(x|y)+y-(~x&y),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y), 1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.000253915786743
(x|y)+3*~(x|y)-2*~(x^y)-~(x&y),-(x&y),-1*(x&y), -1*(x&y),True,0.000189065933228
x+y-(x&y),x|y,1*(x|y), 1*(x|y),True,0.000176906585693
-~(x&y)+(~x|y)+(x&~y),x&y,1*(x&y), 1*(x&y),True,0.000174999237061
-3*(x&y)-(x^y)+~y-~(x&y),-x-2*y,-2*~(x|~y)-1*(x&~y)-3*(x&y), -2*~(x|~y)-1*(x&~y)-3*(x&y),True,0.000244140625
(x&~y)-1*~x-1*(x|y)-1*(~(x&y))+(~(x|~y))+2*(x&y)-1*(x|~y)-1*(~(x&~y))-2*(~(x|y))+(~(x&~x))+2*(~(x|y))+2*(~(x|~y))-2*(x&y),-2*(~(x^y))-~y,-3*~(x|y)-1*(x&~y)-2*(x&y), -3*~(x|y)-1*(x&~y)-2*(x&y),True,0.000249862670898
2*(x|y)-(~x&y)-(x&~y),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y), 1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.00023078918457
-2*(~(x&y))+x+y+4*(~(x|y))+1*(~(x|~y))-1*(x&~y)-2*(x&y),2*~x-2*(x^y),2*~(x|y)-2*(x&~y), 2*~(x|y)-2*(x&~y),True,0.000223875045776
(~x&y)+~(x|y)-~y,-x+y,1*~(x|~y)-1*(x&~y), 1*~(x|~y)-1*(x&~y),True,0.00020694732666
(x^y)+2*y-2*(~x&y),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y), 1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.000232934951782
-2*~x+~y+4*(x|~y)-1*(~(x&y))-1*x-1*(~(x&~x))-1*(x|y)-1*y+(~(x&~y))-3*(~(x|y))+5*(~(x|~y))-1*(x&~y)-2*(x&y),-(~(x^y)),-1*~(x^y), -1*~(x^y),True,0.000192880630493
-1*y-1*(~(x&y))+~x+x-1*(~(x^y))+1*(~(x|y))+2*(~(x|~y))+1*(x&~y)+2*(x&y),1*(x|y),1*(x|y), 1*(x|y),True,0.000179052352905
(x|y)-y+(~x&y),x^y,1*(x^y), 1*(x^y),True,0.00017786026001
~y-1*~x-1*(~(x&~x))+x+2*(x|y)+(~(x^y))-1*(~(x&y))-2*(x|~y)+1*(~(x|y))+1*(x&~y)-3*(x&y),1*(x^y)-2*(~(x&~y)),-2*~(x|y)-1*~(x|~y)+1*(x&~y)-2*(x&y), -2*~(x|y)-1*~(x|~y)+1*(x&~y)-2*(x&y),True,0.000277996063232
