#complex,groundtruth,simcomplex,simground,z3res,verificationtime
-x-1,~x,1*~x,1*~x,True,0.010736465454101562
-(x&y)-(x&~y),-x,-1*x,-1*x,True,0.009410858154296875
(x|y)+y-(~x&y),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y),1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.009957551956176758
(x|y)+3*~(x|y)-2*~(x^y)-~(x&y),-(x&y),-1*(x&y),-1*(x&y),True,0.009382963180541992
x+y-(x&y),x|y,1*(x|y),1*(x|y),True,0.009312629699707031
-~(x&y)+(~x|y)+(x&~y),x&y,1*(x&y),1*(x&y),True,0.009261369705200195
-3*(x&y)-(x^y)+~y-~(x&y),-x-2*y,-2*~(x|~y)-1*(x&~y)-3*(x&y),-2*~(x|~y)-1*(x&~y)-3*(x&y),True,0.009732961654663086
(x&~y)-1*~x-1*(x|y)-1*(~(x&y))+(~(x|~y))+2*(x&y)-1*(x|~y)-1*(~(x&~y))-2*(~(x|y))+(~(x&~x))+2*(~(x|y))+2*(~(x|~y))-2*(x&y),-2*(~(x^y))-~y,-3*~(x|y)-1*(x&~y)-2*(x&y),-3*~(x|y)-1*(x&~y)-2*(x&y),True,0.009727001190185547
2*(x|y)-(~x&y)-(x&~y),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y),1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.009653806686401367
-2*(~(x&y))+x+y+4*(~(x|y))+1*(~(x|~y))-1*(x&~y)-2*(x&y),2*~x-2*(x^y),2*~(x|y)-2*(x&~y),2*~(x|y)-2*(x&~y),True,0.009611368179321289
(~x&y)+~(x|y)-~y,-x+y,1*~(x|~y)-1*(x&~y),1*~(x|~y)-1*(x&~y),True,0.009536504745483398
(x^y)+2*y-2*(~x&y),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y),1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.009784221649169922
-2*~x+~y+4*(x|~y)-1*(~(x&y))-1*x-1*(~(x&~x))-1*(x|y)-1*y+(~(x&~y))-3*(~(x|y))+5*(~(x|~y))-1*(x&~y)-2*(x&y),-(~(x^y)),-1*~(x^y),-1*~(x^y),True,0.0092926025390625
-1*y-1*(~(x&y))+~x+x-1*(~(x^y))+1*(~(x|y))+2*(~(x|~y))+1*(x&~y)+2*(x&y),1*(x|y),1*(x|y),1*(x|y),True,0.00927877426147461
(x|y)-y+(~x&y),x^y,1*(x^y),1*(x^y),True,0.009330034255981445
~y-1*~x-1*(~(x&~x))+x+2*(x|y)+(~(x^y))-1*(~(x&y))-2*(x|~y)+1*(~(x|y))+1*(x&~y)-3*(x&y),1*(x^y)-2*(~(x&~y)),-2*~(x|y)-1*~(x|~y)+1*(x&~y)-2*(x&y),-2*~(x|y)-1*~(x|~y)+1*(x&~y)-2*(x&y),True,0.009878158569335938
-1*(~(x&~x))-1*y+~y-1*(~(x&~y))-1*x+1*(~(x|~y))+3*(x&y),-(x|y)-~x,-1*~(x|y)-2*~(x|~y)-1*(x&~y)-1*(x&y),-1*~(x|y)-2*~(x|~y)-1*(x&~y)-1*(x&y),True,0.00992441177368164
2*y-(~x)+(~y),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y),1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.009688138961791992
-(x^y)+2*y+2*(x&~y),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y),1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.009633302688598633
-(x&y)-2*(~x&y)+~(x|y)-~(x^y),-2*y,-2*y,-2*y,True,0.009200811386108398
-2*(~x&y)+(x^y)+~(x|y)-(x|~y),-y,-1*y,-1*y,True,0.009161233901977539
(~x|y)+(x&~y)-~(x^y),x^y,1*(x^y),1*(x^y),True,0.00932002067565918
(x|y)-(~x&y)-(x&~y),x&y,1*(x&y),1*(x&y),True,0.009334802627563477
-2*(x&y)-2*(x|y)+~y-~x,-x-3*y,-3*~(x|~y)-1*(x&~y)-4*(x&y),-3*~(x|~y)-1*(x&~y)-4*(x&y),True,0.009762287139892578
3*(x&~y)-(~x&y)+(~x|y)-~(x&y),2*x-y,-1*~(x|~y)+2*(x&~y)+1*(x&y),-1*~(x|~y)+2*(x&~y)+1*(x&y),True,0.009847164154052734
-3*(x&~y)+2*(x^y)-(x|y)+(x|~y)-(~x|y),-x,-1*x,-1*x,True,0.009377717971801758
-(x|~y)+(~y)+(x&~y)+y,x^y,1*(x^y),1*(x^y),True,0.009311676025390625
4*(~x&y)-(x^y)+3*~(x|y)+~(x^y)-~y-~x-(~x|y)-~(x&y),-3*(x&~y),-3*(x&~y),-3*(x&~y),True,0.009392023086547852
-4*(x&y)-(x&~y)-(~x&y)-(x^y),-2*x-2*y,-2*~(x|~y)-2*(x&~y)-4*(x&y),-2*~(x|~y)-2*(x&~y)-4*(x&y),True,0.009809494018554688
-2*(x&y)-(~x&y)-(x^y)+3*~(x|y)-~(x^y)-(x|~y)-(~x|y),-2*x-3*y,-3*~(x|~y)-2*(x&~y)-5*(x&y),-3*~(x|~y)-2*(x&~y)-5*(x&y),True,0.009829998016357422
4*(~x&y)-(x^y)+3*~(x|y)+~(x^y)-~y-~x-(~x|y)-~(x&y),-3*(x&~y),-3*(x&~y),-3*(x&~y),True,0.009339094161987305
-(x&y)-(x&~y)+(~x&y)+~y-~(x&y),-x,-1*x,-1*x,True,0.009316205978393555
2*(x&~y)+2*(x^y)-(x|y)+2*~(x^y)-~y-~(x&y),x,1*x,1*x,True,0.009373903274536133
-1*(~(x&~y))-4*(~(x&y))-1*~y-1*(~(x^y))-2*(x|y)+~x+2*(x^y)+x+5*(~(x|y))+3*(~(x|~y))+3*(x&~y)+2*(x&y),-(~(x&~x)),1,1,True,0.009106159210205078
2*(~(x&~x))+(~(x&~y))-2*(x|y)-1*(~(x^y))+(x^y)-1*(~(x|~y)),1*~y+1*~x,2*~(x|y)+1*~(x|~y)+1*(x&~y),2*~(x|y)+1*~(x|~y)+1*(x&~y),True,0.009896278381347656
-4*(x&y)-(x&~y)-(~x&y)-(x^y),-2*x-2*y,-2*~(x|~y)-2*(x&~y)-4*(x&y),-2*~(x|~y)-2*(x&~y)-4*(x&y),True,0.009845256805419922
-3*(x&y)+(x&~y)-(~x&y)+3*~(x|y)-~x-(~x|y)-~(x&y),-4*y,-4*y,-4*y,True,0.00924539566040039
-1*y+~y-1*(~(x&~y))-5*(~(x^y))-1*(x|y)+(x|~y)+(~(x&y))-2*(~(x&~x))+5*(~(x|y))+4*(~(x|~y))+2*(x&~y)+11*(x&y),2*x,2*x,2*x,True,0.00924992561340332
-2*(~(x&~x))-2*(~(x&y))-1*(x^y)-1*(~(x&~y))-1*(~(x^y))-1*~x-1*y+(x|~y)+2*(x|y)+4*(~(x|y))+6*(~(x|~y))+2*(x&y),-2*~y,-2*~y,-2*~y,True,0.009246587753295898
-1*(~(x&y))-1*(x|~y)+~y-1*(~(x&~x))-1*(x^y)-4*(x|y)-1*~x-1*(~(x&~y))+5*(~(x|y))+9*(~(x|~y))+8*(x&~y)+9*(x&y),1*x+1*(~(x^y)),1*~(x|y)+1*(x&~y)+2*(x&y),1*~(x|y)+1*(x&~y)+2*(x&y),True,0.009653806686401367
(x|~y)+(~x&y)-(~(x&y))+(x|y),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y),1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.009727716445922852
2*(~(x^y))+3*(~x&y)+3*(x&~y)-2*(~(x&y)),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y),1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.009786128997802734
-1*x+~y+4*~x-1*(x|~y)+(~(x&~x))-2*(x^y)+(~(x^y))+(~(x&~y))-6*(~(x|y))-4*(~(x|~y))+3*(x&~y)-2*(x&y),-y+1*(~(x&y)),1*~(x|y)+1*(x&~y)-1*(x&y),1*~(x|y)+1*(x&~y)-1*(x&y),True,0.00972437858581543
2*y-(~x&y)+(x&~y),x+y,1*~(x|~y)+1*(x&~y)+2*(x&y),1*~(x|~y)+1*(x&~y)+2*(x&y),True,0.009701967239379883
2*y-1*(x|~y)-1*(x|y)+2*~y+~x+(x^y)-1*(~(x&~y))-1*(~(x&~x))-4*(~(x|y))-1*(~(x|~y))-2*(x&y),-4*(~(x^y)),-4*~(x^y),-4*~(x^y),True,0.009471654891967773
-1*x-2*(x|y)+(~(x&y))+~x-1*(~(x&~y))-1*(x^y)-2*(~(x&~x))+4*(~(x|~y))+4*(x&~y)+5*(x&y),-(x|~y),-1*(x|~y),-1*(x|~y),True,0.009499073028564453
2*(~(x&y))+~y-1*y-2*~x-1*(x|y)+(~(x^y))-1*(x|~y)-1*(~(x&~x))+2*(~(x|~y))-1*(x&~y)+3*(x&y),-(x^y),-1*(x^y),-1*(x^y),True,0.009563446044921875
-1*(x^y)+(x|y)-2*x-1*(~(x&~y))+(~(x^y))+~x+y+(~(x&y))-2*(~(x|y))-1*(~(x|~y))+1*(x&~y),1*(~(x&~x))-(x|~y),1*~(x|~y),1*~(x|~y),True,0.009423255920410156
-1*(~(x&y))+~x+(~(x&~x))-1*(x|y)+x-1*(x&~y),-(x^y)+1*(~(x&~y)),1*~(x|y)-1*(x&~y)+1*(x&y),1*~(x|y)-1*(x&~y)+1*(x&y),True,0.00986933708190918
-2*(x&~y)+4*(x^y)-2*(x|y)+3*~(x^y)-(x|~y)-~x-(~x|y),-x,-1*x,-1*x,True,0.00933384895324707
~x-4*(~(x&y))+2*~y+(~(x^y))-1*x-3*(~(x|y))+2*(x&~y)-3*(x&y),-2*(~(x&~y))-(~(x&~x)),-3*~(x|y)-3*~(x|~y)-1*(x&~y)-3*(x&y),-3*~(x|y)-3*~(x|~y)-1*(x&~y)-3*(x&y),True,0.010006189346313477
(~x&y)-(x^y)+~(x|y)-~(x^y),-x,-1*x,-1*x,True,0.009323596954345703
